AEDT_Timestamp,min,sec,Translation,
,13,14,Brown Gerygone,
,13,15,Brown Gerygone,
,13,16,Brown Gerygone,
,13,17,Brown Gerygone,
,13,18,Brown Gerygone,
,13,19,Brown Gerygone,
,13,20,Brown Gerygone,
,13,21,Brown Gerygone,
,13,22,Brown Gerygone,
,13,23,Brown Gerygone,
,13,24,Brown Gerygone,
,13,25,Brown Gerygone,
,13,25,White-throated Treecreeper,
,13,26,White-throated Treecreeper,
,13,27,White-throated Treecreeper,
,13,26,Brown Gerygone,
,13,27,Brown Gerygone,
,13,28,Brown Gerygone,
,13,29,Brown Gerygone,
,13,30,Brown Gerygone,
,13,31,Brown Gerygone,
,13,32,Brown Gerygone,
,13,33,Brown Gerygone,
,13,34,Brown Gerygone,
,13,35,Brown Gerygone,
,13,36,Brown Gerygone,
,13,37,Brown Gerygone,
,13,38,Brown Gerygone,
,13,39,Brown Gerygone,
,13,40,Brown Gerygone,
,13,41,Brown Gerygone,
,13,42,,
,13,43,,
,13,44,Brown Gerygone,
,13,45,Brown Gerygone,
,13,46,Brown Gerygone,
,13,47,Brown Gerygone,
,13,48,Brown Gerygone,
,13,49,Brown Gerygone,
,13,50,Brown Gerygone,
,13,51,Brown Gerygone,
,13,52,Brown Gerygone,
,13,53,,
,13,54,,
,13,55,,
,13,56,,
,13,57,,
,13,58,Golden Whistler,
,13,59,,
,14,0,,
,14,1,,
,14,2,,
,14,3,Brown Gerygone,
,14,4,Brown Gerygone,
,14,5,Brown Gerygone,
,14,6,Brown Gerygone,
,14,7,Brown Gerygone,
,14,8,Brown Gerygone,
,14,9,Brown Gerygone,
,14,10,Brown Gerygone,
,14,11,Brown Gerygone,
,14,12,Brown Gerygone,
,14,13,Brown Gerygone,
,14,14,Brown Gerygone,
,14,15,Brown Gerygone,
,14,16,Brown Gerygone,
,14,17,,
,14,18,,
,14,19,Brown Gerygone,
,14,20,Brown Gerygone,
,14,21,Brown Gerygone,
,14,22,Brown Gerygone,
,14,23,,
,14,24,,
,14,25,Brown Gerygone,
,14,26,Brown Gerygone,
,14,27,Brown Gerygone,
,14,28,Brown Gerygone,
,14,29,,
,14,30,,
,14,31,,
,14,32,,
,14,33,,
,14,34,,
,14,35,,
,14,36,,
,14,37,,
,14,38,,
,14,39,,
,14,40,,
,14,41,,
,14,42,,
,14,43,,
,14,44,,
,14,45,Golden Whistler,
,14,46,,
,14,47,Brown Gerygone,
,14,48,Brown Gerygone,
,14,49,Brown Gerygone,
,14,50,Brown Gerygone,
,14,51,Brown Gerygone,
,14,52,Brown Gerygone,
,14,53,Eastern Yellow Robin,
,14,54,Eastern Yellow Robin,
,14,55,Eastern Yellow Robin,
,14,56,Eastern Yellow Robin,
,14,57,Eastern Yellow Robin,
,14,53,Eastern Spinebill,
,14,54,Eastern Spinebill,
,14,55,Eastern Spinebill,
,14,56,Eastern Spinebill,
,14,57,Eastern Spinebill,
,14,58,Brown Gerygone,
,14,59,Brown Gerygone,
,14,58,Eastern Spinebill,
,14,59,Eastern Shrike-tit,
,15,0,,
,15,1,Eastern Shrike-tit,
,15,2,Eastern Shrike-tit,
,15,3,,
,15,4,Golden Whistler,
,15,5,,
,15,6,Brown Gerygone,
,15,7,Brown Gerygone,
,15,8,Brown Gerygone,
,15,9,Brown Gerygone,
,15,10,,
,15,11,,
,15,12,Brown Gerygone,
,15,13,Brown Gerygone,
,15,14,Brown Gerygone,
,15,15,Brown Gerygone,
,15,16,Brown Gerygone,
,15,17,,
,15,18,Golden Whistler,
,15,19,Golden Whistler,
,15,20,Golden Whistler,
,15,21,,
,15,22,,
,15,23,,
,15,24,,
,15,25,,
,15,26,,
,15,27,Golden Whistler,
,15,28,,
,15,29,,
,15,30,,
,15,31,,
,15,32,Golden Whistler,
,15,33,Brown Gerygone,
,15,34,Brown Gerygone,
,15,35,,
,15,36,Golden Whistler,
,15,37,,
,15,38,Brown Gerygone,
,15,39,Golden Whistler,
,15,40,,
,15,41,,
,15,42,,
,15,43,Brown Gerygone,
,15,44,Brown Gerygone,
,15,45,Brown Gerygone,
,15,46,Golden Whistler,
,15,47,Golden Whistler,
,15,48,,
,15,49,Golden Whistler,
,15,50,Scarlet Honeyeater,
,15,50,,
,15,51,,
,15,52,,
,15,53,Golden Whistler,
,15,54,Brown Gerygone,
,15,55,Golden Whistler,
,15,56,Brown Gerygone,
,15,57,Brown Gerygone,
,15,58,Brown Gerygone,
,15,59,Brown Gerygone,
,15,57,Golden Whistler,
,15,58,Golden Whistler,
,15,59,Golden Whistler,
,16,0,Golden Whistler,
,16,1,Brown Gerygone,
,16,2,Golden Whistler,
,16,3,Brown Gerygone,
,16,4,Brown Gerygone,
,16,5,Golden Whistler,
,16,6,Brown Gerygone,
,16,7,Brown Gerygone,
,16,8,Golden Whistler,
,16,9,Eastern Spinebill,
,16,10,Golden Whistler,
,16,11,Eastern Spinebill,
,16,12,,
,16,13,,
,16,14,Golden Whistler,
,16,15,,
,16,16,Golden Whistler,
,16,17,,
,16,18,Golden Whistler,
,16,19,,
,16,20,Golden Whistler,
,16,21,Golden Whistler,
,16,22,Golden Whistler,
,16,23,,
,16,24,Golden Whistler,
,16,25,,
,16,26,Golden Whistler,
,16,27,,
,16,28,Golden Whistler,
,16,29,,
,16,30,Golden Whistler,
,16,31,,
,16,32,,
,16,33,Golden Whistler,
,16,34,,
,16,35,,
,16,36,Golden Whistler,
,16,37,,
,16,38,,
,16,39,,
,16,40,Golden Whistler,
,16,41,,
,16,42,,
,16,43,Golden Whistler,
,16,44,,
,16,45,,
,16,46,Brown Gerygone,
,16,47,Golden Whistler,
,16,48,Golden Whistler,
,16,49,,
,16,50,,
,16,51,Golden Whistler,
,16,52,Golden Whistler,
,16,53,,
,16,54,Golden Whistler,
,16,55,,
,16,56,Golden Whistler,
,16,57,,
,16,58,,
,16,59,,
,17,0,Golden Whistler,
,17,1,Golden Whistler,
,17,2,,
,17,3,Golden Whistler,
,17,4,Golden Whistler,
,17,5,,
,17,6,Golden Whistler,
,17,7,Brown Gerygone,
,17,8,Golden Whistler,
,17,9,Golden Whistler,
,17,10,,
,17,11,Golden Whistler,
,17,12,Golden Whistler,
,17,13,Brown Gerygone,
,17,14,Brown Gerygone,
,17,15,Brown Gerygone,
,17,15,Golden Whistler,
,17,16,Brown Gerygone,
,17,17,Brown Gerygone,
,17,18,Brown Gerygone,
,17,19,Brown Gerygone,
,17,18,Golden Whistler,
,17,19,Golden Whistler,
,17,20,Brown Gerygone,
