Key,Timestamp,AEDT_Timestamp,Translation
h,02:42.4,02:42.4,White-cheeked Honeyeater
h,02:45.2,02:45.2,White-cheeked Honeyeater
h,02:48.9,02:48.9,White-cheeked Honeyeater
h,02:50.3,02:50.3,White-cheeked Honeyeater
h,02:52.3,02:52.3,White-cheeked Honeyeater
h,02:56.6,02:56.6,White-cheeked Honeyeater
w,03:00.0,03:00.0,Red-browed Finch
h,03:02.0,03:02.0,White-cheeked Honeyeater
h,03:02.4,03:02.4,White-cheeked Honeyeater
w,03:02.5,03:02.5,Red-browed Finch
h,03:03.6,03:03.6,White-cheeked Honeyeater
h,03:06.3,03:06.3,White-cheeked Honeyeater
7,03:12.3,03:12.3,Little Wattlebird
h,03:12.6,03:12.6,White-cheeked Honeyeater
h,03:14.4,03:14.4,White-cheeked Honeyeater
h,03:19.7,03:19.7,White-cheeked Honeyeater
h,03:22.5,03:22.5,White-cheeked Honeyeater
h,03:24.5,03:24.5,White-cheeked Honeyeater
h,03:27.0,03:27.0,White-cheeked Honeyeater
h,03:30.2,03:30.2,White-cheeked Honeyeater
h,03:40.6,03:40.6,White-cheeked Honeyeater
h,03:44.1,03:44.1,White-cheeked Honeyeater
h,03:48.4,03:48.4,White-cheeked Honeyeater
h,04:00.8,04:00.8,White-cheeked Honeyeater
h,04:05.6,04:05.6,White-cheeked Honeyeater
[,05:05.9,05:05.9,Superb Fairywren
l,05:19.2,05:19.2,Willie Wagtail
[,05:20.3,05:20.3,Superb Fairywren
l,05:45.5,05:45.5,Willie Wagtail
F12,05:49.8,05:49.8,Eastern Yellow Robin
h,05:53.6,05:53.6,White-cheeked Honeyeater
F12,06:05.5,06:05.5,Eastern Yellow Robin
F12,06:06.9,06:06.9,Eastern Yellow Robin
F12,06:08.8,06:08.8,Eastern Yellow Robin
F12,06:10.5,06:10.5,Eastern Yellow Robin
F12,06:12.3,06:12.3,Eastern Yellow Robin
h,06:27.8,06:27.8,White-cheeked Honeyeater
l,06:35.8,06:35.8,Willie Wagtail
e,07:54.6,07:54.6,Rufous Whistler
0,08:12.8,08:12.8,Noisy Friarbird
l,08:21.0,08:21.0,Willie Wagtail
w,08:29.3,08:29.3,Red-browed Finch
[,09:06.1,09:06.1,Superb Fairywren
[,09:21.5,09:21.5,Superb Fairywren
[,09:29.7,09:29.7,Superb Fairywren
k,09:31.1,09:31.1,White-throated Treecreeper
k,09:32.3,09:32.3,White-throated Treecreeper
k,09:33.8,09:33.8,White-throated Treecreeper
l,09:37.4,09:37.4,Willie Wagtail
w,09:59.1,09:59.1,Red-browed Finch
9,10:10.6,10:10.6,Mistletoebird
F10,10:18.2,10:18.2,Eastern Spinebill
F10,10:20.6,10:20.6,Eastern Spinebill
F10,10:22.0,10:22.0,Eastern Spinebill
F10,10:24.9,10:24.9,Eastern Spinebill
h,10:59.8,10:59.8,White-cheeked Honeyeater
h,11:10.4,11:10.4,White-cheeked Honeyeater
l,12:17.8,12:17.8,Willie Wagtail
l,12:18.9,12:18.9,Willie Wagtail
l,12:23.8,12:23.8,Willie Wagtail
l,12:25.5,12:25.5,Willie Wagtail
5,13:09.4,13:09.4,Lewin's Honeyeater
l,13:32.9,13:32.9,Willie Wagtail
l,15:13.8,15:13.8,Willie Wagtail
l,15:14.1,15:14.1,Willie Wagtail
l,15:15.6,15:15.6,Willie Wagtail
l,15:33.6,15:33.6,Willie Wagtail
w,15:49.0,15:49.0,Red-browed Finch
w,15:50.6,15:50.6,Red-browed Finch
l,16:03.4,16:03.4,Willie Wagtail
l,16:16.3,16:16.3,Willie Wagtail
l,16:26.5,16:26.5,Willie Wagtail
e,16:47.4,16:47.4,Rufous Whistler
l,16:57.3,16:57.3,Willie Wagtail
l,17:27.6,17:27.6,Willie Wagtail
k,17:34.1,17:34.1,White-throated Treecreeper
h,17:44.2,17:44.2,White-cheeked Honeyeater
h,17:47.7,17:47.7,White-cheeked Honeyeater
h,17:53.3,17:53.3,White-cheeked Honeyeater
F10,17:57.3,17:57.3,Eastern Spinebill
h,18:02.7,18:02.7,White-cheeked Honeyeater
h,18:11.1,18:11.1,White-cheeked Honeyeater
F10,18:12.9,18:12.9,Eastern Spinebill
h,18:13.9,18:13.9,White-cheeked Honeyeater
h,18:15.9,18:15.9,White-cheeked Honeyeater
h,18:18.7,18:18.7,White-cheeked Honeyeater
F10,18:19.6,18:19.6,Eastern Spinebill
h,18:26.6,18:26.6,White-cheeked Honeyeater
F10,18:27.5,18:27.5,Eastern Spinebill
h,18:37.4,18:37.4,White-cheeked Honeyeater
h,18:44.0,18:44.0,White-cheeked Honeyeater
h,18:54.9,18:54.9,White-cheeked Honeyeater
h,19:00.0,19:00.0,White-cheeked Honeyeater
h,19:01.0,19:01.0,White-cheeked Honeyeater
h,19:09.5,19:09.5,White-cheeked Honeyeater
h,19:14.8,19:14.8,White-cheeked Honeyeater
h,19:24.2,19:24.2,White-cheeked Honeyeater
h,19:27.3,19:27.3,White-cheeked Honeyeater
h,19:29.3,19:29.3,White-cheeked Honeyeater
h,19:31.5,19:31.5,White-cheeked Honeyeater
9,19:35.1,19:35.1,Mistletoebird
h,19:37.2,19:37.2,White-cheeked Honeyeater
h,19:39.4,19:39.4,White-cheeked Honeyeater
1,19:41.2,19:41.2,Grey Fantail
h,19:45.6,19:45.6,White-cheeked Honeyeater
h,19:49.5,19:49.5,White-cheeked Honeyeater
h,20:06.3,20:06.3,White-cheeked Honeyeater
h,20:10.0,20:10.0,White-cheeked Honeyeater
h,20:11.9,20:11.9,White-cheeked Honeyeater
h,20:12.9,20:12.9,White-cheeked Honeyeater
h,20:13.7,20:13.7,White-cheeked Honeyeater
h,20:15.7,20:15.7,White-cheeked Honeyeater
h,20:17.8,20:17.8,White-cheeked Honeyeater
F10,20:18.7,20:18.7,Eastern Spinebill
h,20:36.1,20:36.1,White-cheeked Honeyeater
h,20:37.2,20:37.2,White-cheeked Honeyeater
